,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OI
20200102,3615.0,3636.0,3550.0,3553.0,3600.0,292709.0,263408.0
20200103,3553.0,3574.0,3505.0,3508.0,3531.0,301801.0,285821.0
20200106,3533.0,3558.0,3451.0,3484.0,3489.0,354644.0,297042.0
20200107,3490.0,3539.0,3465.0,3537.0,3502.0,399736.0,284814.0
20200108,3520.0,3555.0,3507.0,3515.0,3529.0,287530.0,297154.0
20200109,3490.0,3505.0,3406.0,3412.0,3454.0,392515.0,317069.0
20200110,3400.0,3439.0,3381.0,3398.0,3412.0,308387.0,312760.0
20200113,3405.0,3450.0,3373.0,3430.0,3415.0,382454.0,308089.0
20200114,3440.0,3448.0,3408.0,3415.0,3428.0,260423.0,314447.0
20200115,3400.0,3456.0,3390.0,3428.0,3429.0,277694.0,320059.0
20200116,3430.0,3543.0,3430.0,3500.0,3494.0,533214.0,280847.0
20200117,3500.0,3542.0,3500.0,3519.0,3520.0,290538.0,280778.0
20200120,3522.0,3603.0,3472.0,3579.0,3562.0,491535.0,247970.0
20200121,3578.0,3590.0,3546.0,3561.0,3564.0,247892.0,246766.0
20200122,3505.0,3524.0,3404.0,3435.0,3445.0,390813.0,232983.0
20200123,3414.0,3477.0,3410.0,3441.0,3444.0,252757.0,211684.0
20200203,3203.0,3203.0,3203.0,3203.0,3203.0,33506.0,203467.0
20200204,3000.0,3186.0,2929.0,3179.0,3120.0,420664.0,195312.0
20200205,3185.0,3276.0,3182.0,3233.0,3238.0,501276.0,223092.0
20200206,3233.0,3317.0,3233.0,3307.0,3263.0,381305.0,230523.0
20200207,3290.0,3345.0,3265.0,3312.0,3314.0,550606.0,257392.0
20200210,3280.0,3368.0,3271.0,3342.0,3341.0,520397.0,265217.0
20200211,3341.0,3365.0,3285.0,3313.0,3320.0,458662.0,270801.0
20200212,3305.0,3327.0,3231.0,3256.0,3282.0,520820.0,282953.0
20200213,3245.0,3270.0,3204.0,3245.0,3236.0,581553.0,293720.0
20200214,3260.0,3276.0,3220.0,3257.0,3244.0,416696.0,286969.0
20200217,3260.0,3359.0,3244.0,3346.0,3309.0,612451.0,280537.0
20200218,3346.0,3383.0,3324.0,3363.0,3357.0,528415.0,284401.0
20200219,3377.0,3486.0,3372.0,3476.0,3443.0,792745.0,287072.0
20200220,3485.0,3534.0,3445.0,3491.0,3492.0,902421.0,259245.0
20200221,3498.0,3563.0,3468.0,3560.0,3511.0,675948.0,253413.0
20200224,3555.0,3586.0,3507.0,3537.0,3551.0,666282.0,250924.0
20200225,3515.0,3538.0,3465.0,3521.0,3500.0,788427.0,244318.0
20200226,3515.0,3547.0,3492.0,3509.0,3523.0,569312.0,246261.0
20200227,3500.0,3509.0,3362.0,3367.0,3440.0,736078.0,255461.0
20200228,3333.0,3355.0,3268.0,3268.0,3300.0,659492.0,230681.0
20200302,3302.0,3464.0,3300.0,3461.0,3405.0,811096.0,218812.0
20200303,3491.0,3532.0,3405.0,3441.0,3456.0,718918.0,225645.0
20200304,3456.0,3484.0,3373.0,3473.0,3431.0,775583.0,230925.0
20200305,3482.0,3496.0,3433.0,3440.0,3459.0,658352.0,246529.0
